Institution_ID,Institution_Name,Institution_City
102997,California State University - Northridge,Northridge
103006,California State University - Sacramento,Sacramento
103015,University of California - Berkeley,Berkeley
103024,University of California - Davis,Davis
103033,University of California - Irvine,Irvine
103042,University of California - Los Angeles,Los Angeles
103051,University of California - Riverside,Riverside
103060,University of California - San Diego,La Jolla
103079,University of California - San Francisco,San Francisco
103088,University of California - Santa Barbara,Santa Barbara
103097,University of California - Santa Cruz,Santa Cruz
103103,Sofia University,Palo Alto
103112,Mountain Oaks Adult Education Center,Vacaville
103121,California Beauty College,Modesto
103130,California Christian College,Fresno
103149,California Coast University,Santa Ana
103158,California College-San Diego,San Diego
103176,California Hair Design Academy,La Mesa
103185,California Institute of the Arts,Valencia
103194,California Maritime Academy,Vallejo
103200,California Western School of Law,San Diego
103219,Canada College,Redwood City
103228,College of the Canyons,Santa Clarita
103237,Career Academy of Beauty,Garden Grove
103246,Casa Loma College - Van Nuys,Van Nuys
103255,Center for Employment Training - San Diego,San Diego
103264,Center for Employment Training - San Jose,San Jose
103282,Center for Employment Training - Riverside,Riverside
103334,Cerritos College,Norwalk
103343,Cerro Coso Community College,Ridgecrest
103352,Chabot College,Hayward
103361,Chaffey College,Rancho Cucamonga
103370,Chapman University,Orange
103389,Charles R. Drew University of Medicine and Science,Los Angeles
103398,Concordia University,Irvine
103404,San Diego Christian College,El Cajon
103422,Church Divinity School of the Pacific,Berkeley
103431,Citrus College,Glendora
103440,City College of San Francisco,San Francisco
103468,Claremont Graduate University,Claremont
103477,Claremont McKenna College,Claremont
103486,Milan Institute - Visalia,Visalia
103501,Clovis Adult Education,Clovis
103529,Coastline Community College,Fountain Valley
103538,Cogswell Polytechnical College,Sunnyvale
103547,Coleman University,San Diego
103556,Coba Cosmetology Academy,Orange
103565,National Polytechnic College of Science,Wilmington
103574,Western University of Health Sciences,Pomona
103583,Columbia College,Sonora
103592,Columbia College Hollywood,Tarzana
103608,Morgan Hill Community Adult School,Morgan Hill
103617,Compton Community College,Compton
103626,Western Beauty Institute,Panorama City
103644,Contra Costa College,San Pablo
103653,Cosumnes River College,Sacramento
103662,Crafton Hills College,Yucaipa
103671,Crenshaw-Washington Community Adult School,Los Angeles
103680,Cuesta College,San Luis Obispo
103699,Cuyamaca College,El Cajon
103714,Cypress College,Cypress
103732,De Anza College,Cupertino
103741,Marinello School of Beauty - Hemet,Hemet
103750,Deep Springs College,Big Pine
103769,Dell'Arte International School of Physical Theatre,Blue Lake
103778,College of the Desert,Palm Desert
103787,Design Institute of San Diego,San Diego
103796,Kasson Adult School - Deuel Vocational Institution,Tracy
103811,Diablo Valley College,Pleasant Hill
103820,Dominican University of California,San Rafael
103839,Dominican School of Philosophy and Theology,Berkeley
103848,Don Bosco Technical Institute,Rosemead
103857,East Los Angeles College,Monterey Park
103866,East Los Angeles Occupational Center,Los Angeles
103875,Marinello School of Beauty - Santa Clara,Santa Clara
103884,SDCCD Continuing Education,San Diego
103893,El Camino College,Torrance
103909,Elegance International,Hollywood
103927,Marinello School of Beauty - Burbank,Burbank
103936,Marinello School of Beauty - Moreno Valley,Moreno Valley
103945,Emperor's College of Traditional Oriental Medicine,Santa Monica
103954,Empire College,Santa Rosa
103963,Evergreen Valley College,San Jose
103981,Fashion Institute of Design and Merchandising,Los Angeles
103990,Fashion Careers College,San Diego
104027,Feather River College,Quincy
104036,Federico Beauty Institute,Sacramento
104045,Fielding Graduate University,Santa Barbara
104054,"Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA",Santa Cruz
104063,Hair California Beauty Academy,Orange
104072,Foothill College,Los Altos Hills
104081,Franciscan School of Theology,Oceanside
104090,Fredrick and Charles Beauty College,Eureka
104106,Fresno City College,Fresno
104115,Fresno Pacific University,Fresno
104133,Fuller Theological Seminary,Pasadena
104142,Fullerton College,Fullerton
104151,Galen College of Medical and Dental Assistants,Modesto
104160,Galen College of Medical and Dental Assistants,Fresno
104179,Galen College of Medical and Dental Assistants,Vislia
104188,Gavilan College,Gilroy
104197,Gemological Institute of America,Carlsbad
104203,Glendale Community College,Glendale
104221,Golden Gate Baptist Theological Seminary,Mill Valley
104230,Golden Gate University-San Francisco,San Francisco
104249,Golden West College,Huntington Beach
104258,Graduate Theological Union,Berkeley
104267,Grossmont Adult School,El Cajon
104285,Grossmont College,El Cajon
104294,Salon Success Academy - San Bernardino,Riverside
104300,Harbor Occupational Center,San Pedro
104319,Hartnell College,Salinas
104328,Harvey Mudd College,Claremont
104407,Hilltop Beauty School,Daly City
104416,Holy Names University,Oakland
104425,Pacifica Graduate Institute,Carpinteria
104434,Humboldt State University,Arcata
104443,Humphreys College - Stockton,Stockton
104452,Imperial Valley College,Imperial
104461,Institute for Business and Technology,Santa Clara
104470,ICR Graduate School,Santee
104489,LA College International,Los Angeles
104498,Interior Designers Institute,Newport Beach
104513,TONI & GUY Hairdressing Academy - Santa Monica,Santa Monica
104522,Irvine Valley College,Irvine
104568,Bellus Academy - El Cajon,El Cajon
104586,John F Kennedy University,Pleasant Hill
104595,American Jewish University,Los Angeles
104601,Reedley College,Reedley
104610,Life Pacific College,San Dimas
104638,University of La Verne,La Verne
104647,Laguna College of Art and Design,Laguna Beach
104665,Lake Tahoe Community College,South Lake Tahoe
104674,Lancaster Beauty School,Lancaster
104683,Laney College,Oakland
104692,Lassen Community College,Susanville
104708,Life Chiropractic College-West,Hayward
104717,Lincoln University,Oakland
104726,Southern California Seminary,El Cajon
104735,La Sierra University,Riverside
104744,Loma Linda University,Loma Linda
104753,Long Beach City College,Long Beach
104762,Southern California University of Health Sciences,Whittier
104780,Los Angeles Harbor College,Wilmington
104799,Los Angeles Pierce College,Woodland Hills
104805,Los Angeles Southwest College,Los Angeles
104814,Los Angeles Trade Technical College,Los Angeles
104823,Los Angeles Valley College,Valley Glen
104832,The Master's College and Seminary,Santa Clarita
104841,Los Angeles City College,Los Angeles
104850,Harbor - UCLA Medical Center,Torrance
104869,Los Angeles County College of Nursing and Allied Health,Los Angeles
104878,Los Angeles Mission College,Sylmar
104887,Los Medanos College,Pittsburg
104911,Loyola Marymount University,Los Angeles
104920,Manchester Beauty College,Fresno
104939,Tulare Beauty College,Tulare
104966,Lytle's Redwood Empire Beauty College Inc,Santa Rosa
104975,MTI Business College Inc,Stockton
104984,MTI College,Sacramento
104993,Brightwood College - Sacramento,Sacramento
105002,Brightwood College - San Diego,San Diego
105011,Brightwood College - Vista,Vista
105039,College of Marin,Kentfield
105048,Marinello School of Beauty - Los Angeles,Los Angeles
105075,Marinello School of Beauty - Los Angeles,Los Angeles
105145,Marymount California University,Rancho Palos Verdes
105163,Mendocino College,Ukiah
105172,Menlo College,Atherton
105181,Mennonite Brethren Biblical Seminary,Fresno
105190,Merced College,Merced
105206,Merritt College,Oakland
105215,Mills College,Oakland
105224,Miracosta College,Oceanside
105233,Marinello School of Beauty - San Francisco,San Francisco
105242,Mission College,Santa Clara
105251,Modern Beauty Academy,Oxnard
105260,Brightwood College - North Hollywood,North Hollywood
105279,Modesto Junior College,Modesto
105288,Moler Barber College,Oakland
105303,Monterey Peninsula College,Monterey
105312,Montessori Teacher Education Center - San Francisco Bay Area,Sunnyvale
105321,Montessori Center for Teacher Education,San Diego
105330,Montessori Western Teacher Training Program,Garden Grove
105349,Moorpark College,Moorpark
105358,Moro Beauty College,Glendale
105367,Mt San Antonio College,Walnut
105376,Mount St. Mary's College,Los Angeles
105385,Mt San Jacinto College,San Jacinto
105394,Mueller College,San Diego
105400,Musicians Institute,Hollywood
105419,Napa Valley College,Napa
105428,Everest Institute - San Francisco,San Francisco
105437,Everest College - Reseda,Reseda
105446,Everest College - Los Angeles,Los Angeles
105455,Everest Institute - San Jose,San Jose
105464,Everest College - Gardena,Gardena
105473,Everest College - Alhambra,Alhambra
105482,Everest College - San Bernardino,San Bernardino
105491,The National Hispanic University,San Jose
105507,National Holistic Institute,Emeryville
105516,National University,La Jolla
105525,Naval Postgraduate School,Monterey
105534,New College of California,San Francisco
105543,NewSchool of Architecture and Design,San Diego
105561,Newberry School of Beauty,Granada Hills
105570,North Adrian's Beauty College,Modesto
105598,North Valley Occupational Center - Aviation Center,Mission Hills
105604,North-West College - Pomona,Pomona
105613,North-West College-West Covina,West Covina
105622,North-West College - Pasadena,Pasadena
105631,Northwestern Polytechnic University,Fremont
105640,Notre Dame de Namur University,Belmont
105659,Occidental College,Los Angeles
105668,Oceanside College of Beauty,Oceanside
105677,Ohlone College,Fremont
105686,Opportunities Industrialization Center - West,Menlo Park
105695,Orange Coast College,Costa Mesa
105701,Otis College of Art and Design,Los Angeles
